date,temp_max,temp_min,temp_mean,precipitation_mm,wind_speed_max_kmh,humidity_mean_pct
2024-01-01,9.8,5.8,7.8,2.9,34.1,78
2024-01-02,11.9,9.8,11.0,12.8,39.0,88
2024-01-03,12.0,8.4,9.8,2.7,32.6,83
2024-01-04,10.6,6.4,8.9,1.7,28.2,82
2024-01-05,9.1,3.3,6.6,0.0,23.9,84
2024-01-06,7.6,2.7,4.8,1.6,22.4,87
2024-01-07,4.2,0.7,2.9,0.0,21.9,83
2024-01-08,-0.3,-4.0,-1.9,0.6,21.7,70
2024-01-09,-1.4,-3.5,-2.0,0.7,16.8,65
2024-01-10,0.5,-4.0,-2.2,0.0,11.5,73
2024-01-11,1.8,-3.1,-1.4,0.0,15.5,71
2024-01-12,3.3,-2.2,1.6,0.0,15.0,84
2024-01-13,0.2,-1.8,-0.9,0.0,10.5,88
2024-01-14,0.2,-2.8,-1.4,0.0,11.2,84
2024-01-15,4.6,-4.1,0.9,0.3,17.7,78
2024-01-16,3.1,-3.8,-1.5,0.0,10.8,81
2024-01-17,7.2,-2.0,0.9,27.6,16.5,95
2024-01-18,2.8,-4.4,-0.5,6.0,21.2,87
2024-01-19,3.4,-5.1,-2.1,0.0,12.2,87
2024-01-20,1.3,-6.1,-2.9,0.0,11.8,86
2024-01-21,8.4,-2.2,4.1,0.1,33.0,76
2024-01-22,12.1,7.7,10.0,3.6,41.3,81
2024-01-23,13.0,5.8,9.0,0.5,27.0,86
2024-01-24,13.3,8.2,12.1,0.5,28.0,81
2024-01-25,12.9,9.3,10.8,1.5,16.3,90
2024-01-26,11.9,1.6,8.9,1.9,23.7,83
2024-01-27,7.4,-2.8,2.1,0.0,10.3,87
2024-01-28,9.1,-0.9,3.4,0.0,12.5,88
2024-01-29,12.6,3.4,7.7,0.0,13.5,87
2024-01-30,11.0,6.2,9.0,0.0,12.6,87
2024-01-31,11.1,2.3,6.6,0.0,14.1,85
2024-02-01,11.4,3.3,9.0,1.3,17.6,90
2024-02-02,8.9,2.6,6.1,0.0,15.2,93
2024-02-03,10.9,8.6,9.5,0.0,18.5,85
2024-02-04,12.1,8.7,9.8,0.0,20.5,80
2024-02-05,9.3,5.8,8.2,0.0,18.2,82
2024-02-06,12.4,7.6,9.9,0.0,29.9,79
2024-02-07,12.4,10.4,11.2,12.2,28.6,89
2024-02-08,13.8,10.6,12.0,6.7,30.6,88
2024-02-09,14.1,8.6,11.3,5.0,28.3,81
2024-02-10,9.9,5.4,7.9,8.0,23.4,93
2024-02-11,10.6,6.0,8.2,1.1,28.4,85
2024-02-12,10.5,2.8,5.9,0.5,13.9,88
2024-02-13,10.9,1.5,6.4,3.3,22.4,85
2024-02-14,14.7,9.4,11.5,0.5,22.7,89
2024-02-15,17.1,8.5,12.3,4.9,14.5,81
2024-02-16,13.9,5.4,11.7,3.6,24.3,86
2024-02-17,13.8,5.2,9.7,0.0,9.4,74
2024-02-18,11.6,6.4,9.0,7.9,20.8,87
2024-02-19,11.7,8.1,10.3,0.4,21.6,87
2024-02-20,10.9,6.4,8.3,0.0,14.9,86
2024-02-21,10.7,6.6,8.7,10.4,29.7,86
2024-02-22,14.2,5.3,11.0,16.2,42.5,84
2024-02-23,9.1,4.0,5.9,1.5,30.9,75
2024-02-24,8.8,1.8,5.0,4.0,28.1,82
2024-02-25,8.8,3.3,6.1,9.8,24.0,90
2024-02-26,9.0,4.8,6.7,6.4,30.7,92
2024-02-27,9.7,3.9,6.3,0.0,26.2,78
2024-02-28,10.8,-0.2,6.1,0.0,13.6,84
2024-02-29,10.3,7.8,9.3,2.8,23.5,90
2024-03-01,11.1,4.0,7.2,4.1,36.0,85
2024-03-02,8.7,4.7,6.5,11.5,24.6,89
2024-03-03,8.7,2.3,5.7,3.4,14.3,86
2024-03-04,11.2,-0.6,5.3,1.0,12.6,78
2024-03-05,9.4,4.5,6.8,7.2,18.7,84
2024-03-06,9.5,2.4,6.1,2.3,8.8,87
2024-03-07,12.9,0.9,6.4,0.0,20.1,80
2024-03-08,13.6,2.2,8.2,0.0,25.5,71
